,ArtistId,Artist,Listeners,Scrobbles,Tag1,Tag2,Tag3,Tag4,Tag5
16,6958e806-1e14-4844-a0a7-07a27756aa0f,A Great Big World,454486,4751027,indie,indie pop,pop,piano,american
17,078a9376-3c04-4280-b7d7-b20e158f345d,A Perfect Circle,1620755,77268982,alternative rock,Progressive rock,rock,alternative,metal
18,9689aa5a-4471-4fb4-9721-07cecda0fa9f,A Tribe Called Quest,1363695,42814287,Hip-Hop,rap,hip hop,Jazz Hop,funk
19,8ab5d936-49d1-415e-92c8-151e0e7dd912,A$AP Ferg,380094,9258224,Hip-Hop,rap,trap,hip hop,swag
20,938bbcc7-3c04-4209-85fb-fa8b3dcd2672,A$AP Mob,222673,6252219,Hip-Hop,rap,swag,hip hop,cloud rap
21,25b7b584-d952-4662-a8b9-dd8cdfbfeb64,A$AP Rocky,1040666,52587810,Hip-Hop,rap,seen live,underground hip-hop,swag
22,,A-Lin,15187,602352,C-pop,taiwanese,pop,female vocalists,taiwan
23,e0bba708-bdd3-478d-84ea-c706413bedab,A.R. Rahman,399468,5909329,Soundtrack,bollywood,Indian,Hindi,A R Rahman
24,d87e52c5-bb8d-4da8-b941-9f4928627dc8,ABBA,1744740,47021299,pop,Disco,70s,swedish,80s
25,66c662b6-6e2f-4930-8610-912e24c63ed1,AC/DC,2764236,139002552,hard rock,classic rock,rock,heavy metal,metal
26,14e410f5-97f2-48ba-b1f7-a3a44cbea05c,ASIAN KUNG-FU GENERATION,276992,21199426,J-rock,japanese,rock,jrock,j-pop
